Method,Timestamp,Which of the following time periods best describes when your house was built?,What do you know about the architecture of the house?,Select the best option which describes your house,How many stories does your house have?,State the area of your house in square feet?,Relationship to the head of the household,Gender,Current attendance at school or other educational institution,Main occupation,"How much is your household's average monthly expenditure in LKR for ""food"" items ?","How much is your household's average monthly expenditure in LKR for ""non-food"" items ?",What is the best representation of the major material your outside walls are made of?,Which of the following options do your house use for ventilation and lighting other than windows and doors (only indoors)?,What is the major type of roof installation used in your house (on the highest floor)?,Nearly how many red notices did you receive last year?,Which of the below is true regarding your normal bill payment practice (example given when the bill is Rs 4566)?,Was your wiring done by a professional electrician?,Which of the following do you use in your household for generating electricity?,"If using solar energy, which of the following purposes do you use solar energy inside your house?",Which of the following can most accurately describe your know-how in electricity bill calculation?,Which of the following best describes your behavior of ironing clothes?,Which of the following best describes your behavior regarding night lighting considering the whole house?,Do you check your electricity meter for over-consumption?,Do you look at the energy rating of an appliance when buying one?,Which district you are residing?,Which Secretarial division your house belonged?
Telephone,2023-06-14,After 2019,The house was designed by a certified architect.,Single House -Double Floor,2,3650,Wife / Husband,Female,Preschool,Professional,"50,000/-","35,000",Brick,Window Walls (the wall is covered more than 80% by windows),Concrete,4,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,None of the above,,One of my family members taught me how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo ,Homagama 
Google Sheet,2023-06-15,2000-2009,The house was designed by a certified architect.,Single House -Double Floor,2,2000,Head of the Household,Male,Does not Attend,Professional,50000,50000,Brick,Window Walls (the wall is covered more than 80% by windows),Asbestos,10,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Solar Energy,Other,LECO/ CEB described to me how the bill is calculated.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,Never,No,Colombo,Kaduwela
Google Sheet,2023-06-16,Before 1980,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,2000,Son / Daughter,Male,Does not Attend,Professional,50000,50000,Brick,Transparent Roofing Parts,Concrete,3,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Gampaha,Gampahaa
Face,2023-06-16,Before 1980,I am not aware of it,Single House - Single Floor,1,4000,Grandson / Granddaughter,Female,Does not Attend,Professional,60000,30000,Stones / Cube Stones,Other,Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Matara,Weligama
Google Sheet,2023-06-16,2010-2019,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,2500,Head of the Household,Male,University,Professional,150000,200000,Brick,Transparent Roofing Parts;Window Walls (the wall is covered more than 80% by windows),Plastic Sheets,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,A friend described the bill calculation.,We iron the clothes weekly.,We keep more than two lights on when sleeping,Never,Yes,Colombo,Homagama
Face,2023-06-16,1990-1999,The house was designed by a certified architect.,Single House -Double Floor,2,6000,Son / Daughter,Male,Does not Attend,Professional,50000,80000,Brick,Transparent Roofing Parts,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kandy,Kandy
Google Sheet,2023-06-16,2000-2009,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,1,5600,Head of the Household,Male,University,Professional,80000 ,"120,000",Brick,Pergolas,Tile,2,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Yes, every month",No,Gampaha,Attanagalla
Google Sheet,2023-06-16,After 2019,The house was designed by a certified architect.,Single House - Above Double Floor,3,5200,Wife / Husband,Female,University,"Legislator, senior official, and manager",around 45000,Around 100000.00,Brick,Pergolas;Transparent Roofing Parts,Concrete,Zero,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",Yes,Gampaha,Biyagama 
Telephone,2023-06-16,2000-2009,Other,Single House - Single Floor,One,1800 sq ft,Head of the Household,Male,University,"Legislator, senior official, and manager",Rs.50000.00,50000.00,Cement Block,Transparent walls (clear glass/ semi-transparent glass);Other,Tile,None,I try to pay the exact amount in the bill (ex: 4566),Yes,Solar Energy,Water heating;Outdoor lighting;Cooking;Other,I got to know through the media.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",Yes,Gampaha ,Jaela
Google Sheet,2023-06-16,After 2019,House was designed barely to pass the statutory requirements of the local authorities.,Single House -Double Floor,2,75,Wife / Husband,Female,Does not Attend,Professional,25000,30000,Cement Block,None,Asbestos,3,I try to pay a portion of my bill amount that is possible for me (ex: 3500),I am not aware of it,None of the above,,One of my family members taught me how the bill is calculated.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Gampaha,Attanagalla
Google Sheet,2023-06-17,Before 1980,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,2500,Wife / Husband,Male,Does not Attend,Professional,30000,50000,Cabook,Window Walls (the wall is covered more than 80% by windows),Asbestos,No any,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I got to know through the media.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,Never,Yes,Kaluthara,Kaluthara 
Face,2023-06-18,2000-2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,3000,Son / Daughter,Male,Does not Attend,Professional,20000,20000,Brick,Window Walls (the wall is covered more than 80% by windows),Asbestos,2,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,LECO/ CEB described to me how the bill is calculated.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",No,Kalutara,Horana
Google Sheet,2023-06-18,2000-2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,1900,Head of the Household,Male,School,Professional,55000,75000,Cement Block,Pergolas,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Solar Energy,Water heating;Outdoor lighting;Other,I got to know through the media.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Colombo,Kesbewa
Google Sheet,2023-06-18,2000-2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,Two,2500,Son / Daughter,Male,University,Professional,50000,60000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Asbestos,3,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I am not aware of how the bill is calculated.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Ratnapura ,Imbulpe
Google Sheet,2023-06-18,1990-1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,3267,Son-in-Law / Daughter-in-Law,Male,University,"Legislator, senior official, and manager",100000,100000,Cement Block,Transparent walls (clear glass/ semi-transparent glass);Window Walls (the wall is covered more than 80% by windows),Concrete,1,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Colombo,Colombo central
Telephone,2023-06-18,2000-2009,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,3000,Son / Daughter,Male,University,Technician and associate professional,50000,50000,Brick,None,Asbestos,6,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Ratnapura,Pelmadulla
Google Sheet,2023-06-18,1980-1989,I am not aware of it,Single House - Single Floor,1,3000,Head of the Household,Male,Other Educational Institution,Professional,75000,25000,Brick,None,Tile,0,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,LECO/ CEB described to me how the bill is calculated.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Gampaha,Gampaha
Face,2023-06-18,2000-2009,House was designed barely to pass the statutory requirements of the local authorities.,Single House - Single Floor,One,1500 sqft,Parents of the Head of the Household / Spouse,Female,University,Technician and associate professional,35000LKR,20000LKR,Cement Block,Window Walls (the wall is covered more than 80% by windows),Asbestos,Five ,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the clothes weekly.,We keep less than two-night lights on when sleeping,"Yes, every month",No,Gampaha ,Biyagama 
Face,2023-06-18,2000-2009,The house was designed by a certified architect.,Single House -Double Floor,2,2900,Son / Daughter,Female,Does not Attend,Professional,50000,75000,Brick,Pergolas;Transparent Roofing Parts;Transparent walls (clear glass/ semi-transparent glass);Other,Tile,3,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Colombo,Kaduwela
Google Sheet,2023-06-18,After 2019,The house was designed by a certified architect.,Single House -Double Floor,2,3000,Head of the Household,Male,University,Professional,50000,100000,Brick,Window Walls (the wall is covered more than 80% by windows);Other,Asbestos,1,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo,Kotte
Face,2023-06-18,Before 1980,I am not aware of it,Single House - Single Floor,1,1500(approximately),Son / Daughter,Female,University,Professional,60000,100000,Pressed Soil Blocks,Transparent Roofing Parts,Tile,1,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),I am not aware of it,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,Never,Yes,Galle,Baddema
Google Sheet,2023-06-18,2000-2009,I am not aware of it,Single House - Single Floor,1,1000,Head of the Household,Male,Does not Attend,Professional,150000,200000,Brick,None,Asbestos,5,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through another mean.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,No,Colombo ,Kaduwela
Google Sheet,2023-06-18,2010-2019,The house was designed by a certified architect.,Single House -Double Floor,2,3000,Head of the Household,Male,University,Professional,150000,200000,Brick,Pergolas;Transparent Roofing Parts;Window Walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,Never,Yes,Gampaha,Ja ela
Google Sheet,2023-06-18,1990-1999,I am not aware of it,Single House - Single Floor,1,2400,Son / Daughter,Male,Does not Attend,Professional,40000,20000,Brick,None,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, some of the months",No,Galle,Baddegama
Face,2023-06-18,1990-1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,2500,Head of the Household,Male,University,Professional,20000,50000,Brick,None,Metal Sheet,1,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I got to know through the media.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",No,Kalutara ,Bandaragama 
Google Sheet,2023-06-18,Before 1980,I am not aware of it,Single House - Single Floor,No,4,Wife / Husband,Female,Pending Results G.C.E. (O.L / A.L),No occupation,20000,10000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Concrete,1,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,Never,No,Gampaha,Delgoda
Google Sheet,2023-06-18,2000-2009,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,2000,Head of the Household,Male,University,Professional,30000,25000,Brick,Other,Tile,4,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron our clothes twice a week.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",Yes,Monaragala,Thanamalwila
Face,2023-06-18,1990-1999,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,One,1900,Head of the Household,Male,School,Professional,"75,000.00",75000.00,Wood / Takaran / Asbestos,None,Tile,2,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),No,None of the above,,I got to know through the media.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,Never,Yes,Galle,Ambalangoda
Telephone,2023-06-18,2000-2009,The house was designed by a certified architect.,Single House - Single Floor,1,About 1200,Son / Daughter,Male,Does not Attend,Professional,40000,30000,Brick,Transparent Roofing Parts,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Solar Energy,Water heating;Cooking;Other,LECO/ CEB described to me how the bill is calculated.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Kalutara,Kalutara
Telephone,2023-06-18,After 2019,The house was designed by a certified architect.,Single House -Double Floor,2,2200,Head of the Household,Male,Does not Attend,Professional,80000,90000,Cement Block,Transparent Roofing Parts;Other,Concrete,Two,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",Yes,Colombo,Kesbewa
Face,2023-06-18,2010-2019,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,1970,Son / Daughter,Female,University,Professional,50000,50000,Brick,Other,Asbestos,None,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We keep more than two lights on when sleeping,Never,Yes,Kalutara,Panadura
Telephone,2023-06-18,1990-1999,No such professional designing was done; the house was designed to suit our needs and wants.,Single House -Double Floor,1,1300,Head of the Household,Male,Does not Attend,Professional,100000,100000,Brick,Window Walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Colombo ,Nugegoda ( sri jayawardena pura kotte )
Telephone,2023-06-18,After 2019,The house was designed by a certified architect.,Single House -Double Floor,2,3000,Head of the Household,Male,Does not Attend,Professional,50000,50000,Brick,Window Walls (the wall is covered more than 80% by windows),Concrete,1,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,Mini Hydropower,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,Never,Yes,Colombo,Maharagama
Face2023-06-19,2000-2009,The house was designed by a certified architect.,Single House -Double Floor,1,Yes,Head of the Household,Male,Still a Toddler,Technician and associate professional,Rs60000,50000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Asbestos,1,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo ,Kaduwela
Google Sheet,2023-06-19,2010-2019,Other,Single House -Double Floor,2,3300+,Head of the Household,Male,Does not Attend,Professional,No exact idea. May be 30000-50000,No exact idea. May be 30000-50000,Brick,Pergolas,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I got to know through the media.,We iron when and where the need arises.,We keep more than two lights on when sleeping,Never,Yes,Colombo,Kesbewa
Telephone,2023-06-19,1990-1999,No such professional designing was done; the house was designed to suit our needs and wants.,Single House - Single Floor,1,1300,Son / Daughter,Male,Does not Attend,Professional,45000,30000,Brick,None,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,LECO/ CEB described to me how the bill is calculated.,We iron the clothes weekly.,We don’t keep any of the lights on when sleeping.,Never,No,Colombo ,Kaduwela
Google Sheet,2023-06-19,1990-1999,The house was designed by a certified architect.,Single House -Double Floor,2,2500,Head of the Household,Male,Does not Attend,Professional,75000,25000,Brick,Pergolas,Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,None of the above,,I learnt the calculation by reading the monthly bill.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Yes, every month",Yes,Panadura,Wekada
Face,2023-06-19,Before 1980,The house was designed by a certified architect.,Single House - Single Floor,one,1500,Son / Daughter,Male,Does not Attend,"Legislator, senior official, and manager","80,000","50,000",Brick,Pergolas;Window Walls (the wall is covered more than 80% by windows),Asbestos,2,I try to pay the exact amount in the bill (ex: 4566),Yes,None of the above,,I got to know through the media.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,"Rarely, once a year",Yes,Colombo,Kotte
Telephone,2023-06-19,Before 1980,I am not aware of it,Single House - Single Floor,Ground,1900 sqfeet,Parents of the Head of the Household / Spouse,Male,Does not Attend,Professional,50-60k,10-20k,Brick,Window Walls (the wall is covered more than 80% by windows),Asbestos,Non,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,Never,Yes,Gampaha,Attanagalla
Telephone,2023-06-19,After 2019,The house was designed by a certified architect.,Single House -Double Floor,2,3000,Head of the Household,Male,Does not Attend,Professional,75000,50000,Cement Block,Other,Plastic Sheets,1,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,None of the above,,I got to know through the media.,We iron our clothes twice a week.,We don’t keep any of the lights on when sleeping.,Never,No,Gampaha,Mahara
Face,2023-06-19,Before 1980,I am not aware of it,Single House - Single Floor,Single,4200,Son / Daughter,Male,University,Professional,"25,000 ","30,000",Cement Block,Other,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through another mean.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,"Yes, some of the months",Yes,Colombo,Wellawatte
Google Sheet,2023-06-19,1990-1999,The house was designed by a certified architect.,Single House - Single Floor,1,1400,Parents of the Head of the Household / Spouse,Male,Does not Attend,Professional,40000,160000,Brick,Pergolas,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),No,None of the above,,I learnt the calculation by reading the monthly bill.,We iron when and where the need arises.,We don’t keep any of the lights on when sleeping.,Never,Yes,Kalutara,Bandaragama
Telephone,2023-06-20,1990-1999,House was designed barely to pass the statutory requirements of the local authorities.,Single House -Double Floor,2,800,Wife / Husband,Male,University,Professional,60000,90000,Cement Block,Window Walls (the wall is covered more than 80% by windows),Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I got to know through the media.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,"Rarely, once a year",Yes,Badulla,Bandarawela
Google Sheet,2023-06-21,Before 1980,I am not aware of it,Single House - Single Floor,1,1200,Wife / Husband,Female,Does not Attend,Professional,60000,50000,Cement Block,None,Asbestos,2,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),I am not aware of it,None of the above,,I got to know through the media.,We iron when and where the need arises.,We keep less than two-night lights on when sleeping,"Rarely, once a year",No,Colombo,Kotte
Telephone,2023-06-21,2010-2019,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer.",Single House -Double Floor,2,3000,Head of the Household,Male,Does not Attend,"Legislator, senior official, and manager",50000,20000,Cement Block,Transparent walls (clear glass/ semi-transparent glass),Asbestos,None ,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron the cloths daily.,We keep less than two-night lights on when sleeping,Never,Yes,Colombo ,Homagama
Face,2023-06-22,2010-2019,The house was designed by a certified architect.,Single House -Double Floor,2,3300,Head of the Household,Male,University,Professional,80000,40000,Cement Block,Pergolas;Transparent Roofing Parts;Window Walls (the wall is covered more than 80% by windows),Concrete,3,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600),Yes,None of the above,,I am not aware of how the bill is calculated.,We iron the cloths daily.,We don’t keep any of the lights on when sleeping.,Never,Yes,Colombo,Maharagama
